UID,FriendlyPointNameV2,FriendlyPointNameV3,LocationTag,EquipTag,PointTag,Category,Class
PC100818B:NAE55-6/Field Bus1.DDC EB2 1-3 FX1.AHU 1-1.CO2.Present Value,BA AHU 1-1 CO2Sensor,BA_AHU_1_1_CO2Sensor,BA,AHU 1-1,CO2Sensor,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 1-3 FX1.AHU 1-1.RH.Present Value,BA AHU 1-1 Humidity,BA_AHU_1_1_Humidity,BA,AHU 1-1,Humidity,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 1-3 FX1.AHU 1-1.OFFCOIL TEMP.Present Value,BA AHU 1-1 OffcoilTemp,BA_AHU_1_1_OffcoilTemp,BA,AHU 1-1,OffcoilTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 1-3 FX1.AHU 1-1.STATUS.Present Value,BA AHU 1-1 OnOffStatus,BA_AHU_1_1_OnOffStatus,BA,AHU 1-1,OnOffStatus,Airside,Binary
PC100818B:NAE55-6/Field Bus1.DDC EB2 1-3 FX1.AHU 1-1.RETURN AIR TEMP.Present Value,BA AHU 1-1 ReturnAirTemp,BA_AHU_1_1_ReturnAirTemp,BA,AHU 1-1,ReturnAirTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 1-3 FX1.AHU 1-1.STATIC PRESSURE.Present Value,BA AHU 1-1 StaticPressure,BA_AHU_1_1_StaticPressure,BA,AHU 1-1,StaticPressure,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 1-3 FX1.AHU 1-1.SUPPLY AIR TEMP.Present Value,BA AHU 1-1 SupplyAirTemp,BA_AHU_1_1_SupplyAirTemp,BA,AHU 1-1,SupplyAirTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 1-1 FX1.AHU 1-2.CO2.Present Value,BA AHU 1-2 CO2Sensor,BA_AHU_1_2_CO2Sensor,BA,AHU 1-2,CO2Sensor,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 1-1 FX1.AHU 1-2.RH.Present Value,BA AHU 1-2 Humidity,BA_AHU_1_2_Humidity,BA,AHU 1-2,Humidity,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 1-1 FX1.AHU 1-2.OFFCOIL TEMP.Present Value,BA AHU 1-2 OffcoilTemp,BA_AHU_1_2_OffcoilTemp,BA,AHU 1-2,OffcoilTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 1-1 FX1.AHU 1-2.STATUS.Present Value,BA AHU 1-2 OnOffStatus,BA_AHU_1_2_OnOffStatus,BA,AHU 1-2,OnOffStatus,Airside,Binary
